1,5,6,3116,1245,1
2,8,6,4417,4200,1
3,11,17,2156,1755,1
4,12,17,1743,1006,1
5,20,6,2166,1472,1
6,20,17,215,31,2
7,23,6,3221,1321,1
8,25,6,1067,336,1
9,32,6,585,193,1
10,34,6,1111,761,1
11,34,17,207,56,2
12,35,17,464,161,1
13,39,6,4023,3525,1
14,42,6,4208,3185,1
15,42,17,1891,1424,2
16,44,6,2165,669,1
17,53,6,4405,505,1
18,53,17,505,318,2
19,56,17,477,473,1
20,56,1,1452,638,2
21,63,6,3692,1651,1
22,66,6,1470,967,1
23,68,6,486,85,1
24,69,6,316,201,1
25,71,17,1222,312,1
26,77,6,1505,860,1
27,81,6,527,453,1
28,87,6,2823,1,1
29,87,17,1183,1173,2
30,90,6,1176,59,1
31,90,17,3091,858,2
32,92,6,4278,514,1
33,99,6,1713,911,1
